Symbol,Name,Last Price,Open,High,Low,Prev Close,Volume,Change %,RSI 14
MAHAPEXLTD,MAHA RASHTRA APEX COPR. L,51.76,54,54,51.2,51.76,0,0.0,53.14
AAREYDRUGS,AAREY DRUGS & PHARM,88.33,90,91.44,85.39,88.33,0,0.0,91.6
INDUSINDBK,INDUSIND BANK,847.95,868,868,839,847.95,0,0.0,70.17
PDSL,PDS,279.45,286.9,288.8,276.3,279.45,0,0.0,59.73
ALIVUS,ALIVUS LIFE SCIENCES,1050.05,1060,1077.95,1039.7,1050.05,0,0.0,76.19
ROLEXRINGS,ROLEX RINGS,155.27,156.5,161.97,152.9,155.27,0,0.0,84.18
PRITIKAUTO,PRITIKA AUTO INDUS,12.99,13.41,13.6,12.9,12.99,0,0.0,67.39
UGROCAP,UGRO CAPITAL,106.9,108.15,109,104,106.9,0,0.0,75.81
EXXARO,EXXARO TILES,6.97,6.98,7.09,6.9,6.97,0,0.0,62.61
KRSNAA,KRSNAA DIAGNOSTICS,601.05,606.85,613.75,598,601.05,0,0.0,71.99
WINDLAS,WINDLAS BIOTECH,860.05,866.8,875.95,842,860.05,0,0.0,76.53
DEVYANI,DEVYANI INTERNATIONAL,106.98,110.3,111.37,106.11,106.98,0,0.0,65.23
ASAHIINDIA,ASAHI INDIA GLASS,834.05,854.2,869.35,831,834.05,0,0.0,59.5
EPIGRAL,EPIGRAL,1202.85,1195.3,1209.8,1162.5,1202.85,0,0.0,89.69
AAVAS,AAVAS FINANCIERS,1411.3,1411.2,1422.4,1387.7,1411.3,0,0.0,91.89
MOL,MEGHMANI ORGANICS,52.51,53.3,53.63,52.3,52.51,0,0.0,77.23
NGIL,NAKODA GROUP OF IND.,36.97,36.5,37.5,36,36.97,0,0.0,86.71
CARTRADE,CARTRADE TECH,1694.3,1692.8,1735,1657.4,1694.3,0,0.0,52.49
NUVOCO,NUVOCO VISTAS CORP,293.15,299.6,299.8,291.35,293.15,0,0.0,57.43
TRIGYN,TRIGYN TECHNOLOGIES,56.23,58.73,58.73,56,56.23,0,0.0,82.39
APTUS,APTUS VALUE HSG FIN I,257.46,257,258.72,252.5,257.46,0,0.0,86.59
CHEMPLASTS,CHEMPLAST SANMAR,236.1,247,247,233.3,236.1,0,0.0,35.12
SGBAUG29V-GB,2.50%GOLDBONDS2029SR-V,15084.14,14904,15100,14904,15084.14,0,0.0,77.6
GRSE,GARDEN REACH SHIP&ENG,2878.7,2894,2979,2818,2878.7,0,0.0,86.57
YUKEN,YUKEN INDIA,718.8,742.7,748.95,711.5,718.8,0,0.0,71.02
SERVOTECH,SERVOTECH REN POW SYS,90.24,92.25,95,88,90.24,0,0.0,84.09
JAIPURKURT,NANDANI CREATION,33.25,34.44,34.44,32.6,33.25,0,0.0,74.82
KOTHARIPRO,KOTHARI PRODUCTS,73,74.5,74.99,71.23,73,0,0.0,81.26
SGBSEP29VI-GB,2.5%GOLDBONDS2029SR-VI,14984.53,15025.5,15067.99,14920,14984.53,0,0.0,77.71
ACUTAAS,ACUTAAS CHEMICALS,2395,2390,2424.9,2340,2395,0,0.0,42.59
VIJAYA,VIJAYA DIAGNOSTIC CEN,1065.55,1039.45,1070,1005,1065.55,0,0.0,94.79
INTLCONV,INTL CONVEYORS,76.8,76.55,77.8,75.82,76.8,0,0.0,83.12
ASTRAZEN,ASTRAZENECA PHARMA IND LT,8500,8500,8594,8325.5,8500,0,0.0,74.28
GANESHBE,GANESH BENZOPLAST,98.57,95.5,101.08,95.49,98.57,0,0.0,83.03
CEMPRO,CEMINDIA PROJECTS,648.6,667.6,667.6,640.2,648.6,0,0.0,77.82
PAR,PAR DRUGS AND CHEM,91.13,92.34,92.77,91.04,91.13,0,0.0,76.65
J&KBANK,J & K BANK,126.05,129.09,129.55,124.3,126.05,0,0.0,70.44
SHANTI,SHANTI OVERSEAS INDIA,7.3,7.42,7.5,7.05,7.3,0,0.0,81.44
ARCHIES,ARCHIES,14.29,14.71,14.89,14.22,14.29,0,0.0,71.94
CUB,CITY UNION BANK,262.51,265.52,267.29,260,262.51,0,0.0,65.89
SHREMINVIT-IV,SHREM INVIT,105,0,105,105,105,0,0.0,
CYIENT,CYIENT,873.05,937,937,867.05,873.05,0,0.0,64.39
SANSERA,SANSERA ENGINEERING,2530.7,2535,2588,2506.5,2530.7,0,0.0,79.68
MASPTOP50,MIRAE ASSET S&P 500 TOP 50 ETF,76.26,76.26,76.26,75.9,76.26,0,0.0,84.52
LAGNAM,LAGNAM SPINTEX,77.24,79.1,79.95,75.95,77.24,0,0.0,77.53
AXISBANK,AXIS BANK,1365.9,1369,1375,1350,1365.9,0,0.0,85.91
PARAS,PARAS DEF AND SPCE TECH L,800.55,840,849.5,793,800.55,0,0.0,79.98
INTELLECT,INTELLECT DESIGN ARENA,688.7,704.9,704.9,681.65,688.7,0,0.0,67.46
MONTECARLO,MONTE CARLO FASHIONS,543.7,532,560.75,529.55,543.7,0,0.0,67.02
SOUTHBANK,THE SOUTH INDIAN BANK,38.63,39.19,39.45,38.38,38.63,0,0.0,74.37
SGBOCT26-GB,2.50%GOLDBONDS2026SR-II,14900,15050,15050.98,14827,14900,0,0.0,
COASTCORP,COASTAL CORPORATION,55.67,56.5,57.1,52.31,55.67,0,0.0,84.91
ABSLAMC,ADIT BIRL SUN LIF AMC,1067.65,1033.6,1099.25,1032.5,1067.65,0,0.0,78.86
EIFFL,EURO (I) FRESH FOODS,255.07,250.21,259.19,243.89,255.07,0,0.0,81.51
PASUPTAC,PASUPATI ACRYLON,51.02,53.99,53.99,50.7,51.02,0,0.0,74.3
CYBERTECH,CYBERTECH SYSTEMS & SOFTW,123.82,128.3,129.99,119.5,123.82,0,0.0,70.73
ATGL,ADANI TOTAL GAS,626.85,625,629.7,604.4,626.85,0,0.0,77.3
AIROLAM,AIRO LAM,85.72,87.77,87.77,84.01,85.72,0,0.0,57.12
GOODLUCK,GOODLUCK INDIA,1189.35,1207.8,1216,1167,1189.35,0,0.0,77.67
DIGJAMLMTD,DIGJAM,48.74,53.36,54.5,48,48.74,0,0.0,67.89
PANSARI,PANSARI DEVELOPERS,316.45,325,325,272.4,316.45,0,0.0,81.51
BHAGCHEM,BHAGIRADHA CHEM & INDS L,259.29,264.85,264.85,257,259.29,0,0.0,80.09
FCL,FINEOTEX CHEMICAL,22.91,23.21,23.5,22.62,22.91,0,0.0,77.67
IIFLZC26-NN,,1442,0,1442,1442,1442,0,0.0,
CAMLINFINE,CAMLIN FINE SCIENCES,127.4,120.45,129.8,120,127.4,0,0.0,81.07
SIKKO,SIKKO INDUSTRIES,4.61,4.63,4.75,4.58,4.61,0,0.0,62.33
DTIL,DHUNSERI TEA & IND.,141.04,143.01,147.94,140.02,141.04,0,0.0,75.05
SELMC,SEL MANUFACTURING CO,32.57,33.69,33.69,32.5,32.57,0,0.0,78.84
MEDICAMEQ,MEDICAMEN BIOTECH,257.66,262,262.5,253.63,257.66,0,0.0,68.43
GULPOLY,GULSHAN POLYOLS,181.94,186.87,186.87,181,181.94,0,0.0,76.76
HEALTHY,ADITYA BIRLA SUN LIFE NIFTY HEALTHCARE ETF,15,15.54,15.54,14.93,15,0,0.0,60.85
APOLSINHOT,APOLLO SINDOORI HOTEL,1122.6,1142.95,1142.95,1111,1122.6,0,0.0,72.79
SGBNOV26-GB,2.50%GOLDBONDS2026SR-III,15140,15140,15140,15140,15140,0,0.0,84.73
NATIONALUM,NATIONAL ALUMINIUM CO,437.05,436.05,439.95,428.2,437.05,0,0.0,72.96
CCHHL,COUNTRY CLUB HOSP HOL,13.97,14.94,14.94,13.96,13.97,0,0.0,72.72
LAMBODHARA,LAMBODHARA TEXTILES,106.53,106.95,109.9,104.1,106.53,0,0.0,80.19
KRITI,KRITI INDUSTRIES IND,82.05,84,86,82,82.05,0,0.0,69.26
MANORG,MANGALAM ORGANICS,448.35,451.05,460.25,443.95,448.35,0,0.0,73.78
TECHNOE,TECHNO ELEC & ENG CO.,1223.5,1256,1258.7,1214.05,1223.5,0,0.0,81.84
TECH,ADITYA BIRLA SUN LIFE NIFTY IT ETF,30.89,32.7,32.7,30.7,30.89,0,0.0,44.77
IRIS,IRIS REGTECH SOLUTION,236.16,242.31,242.36,235,236.16,0,0.0,65.51
SGBNV29VII-GB,2.5%GOLDBONDS2029SR-VII,15009.99,14980,15050,14980,15009.99,0,0.0,75.64
NHIT-IV,NATIONAL HIGHW INFRA TRUS,160.05,159.84,160.05,159.5,160.05,0,0.0,
GRPLTD,GRP,1913.4,1967.9,1967.9,1883.5,1913.4,0,0.0,52.06
NYKAA,FSN E COMMERCE VENTURES,262.79,262.95,264.83,260.02,262.79,0,0.0,72.46
FINOPB,FINO PAYMENTS BANK,130.96,137.95,137.95,129.12,130.96,0,0.0,60.74
SONATSOFTW,SONATA SOFTWARE,256.98,264.8,266.19,255,256.98,0,0.0,71.46
GENUSPAPER,GENUS P&B,13.77,14.55,14.55,13.68,13.77,0,0.0,87.51
EQUAL50ADD,DSP NIFTY 50 EQUAL WEIGHT ETF,333.63,337.27,337.27,332.27,333.63,0,0.0,67.36
SJS,SJS ENTERPRISES,1616.6,1670.9,1684,1605.2,1616.6,0,0.0,55.04
POLICYBZR,PB FINTECH,1696.7,1685,1701.1,1667,1696.7,0,0.0,81.89
SIGACHI,SIGACHI INDUSTRIES,21.96,22.65,22.77,21.8,21.96,0,0.0,74.65
FOODSIN,FOODS & INNS,56.94,60.9,60.9,56.6,56.94,0,0.0,72.07
PAYTM,ONE 97 COMMUNICATIONS,1147.35,1159.95,1170,1142.5,1147.35,0,0.0,81.5
IVC,IL&FS INVESTMENT MANAGERS,7.62,7.86,7.88,7.61,7.62,0,0.0,77.05
MOLDTKPAC,MOLD-TEK PACKAGING,584.4,599,600.55,580.7,584.4,0,0.0,71.45
SAPPHIRE,SAPPHIRE FOODS INDIA,167.32,173.66,175.38,165,167.32,0,0.0,63.79
JINDALSTEL,JINDAL STEEL,1256,1252.2,1273.1,1237.3,1256,0,0.0,78.28
NIPPOBATRY,INDO-NATIONAL,324.4,324.7,327,314.75,324.4,0,0.0,78.18
SBC,SBC EXPORTS,33.32,33.63,33.68,33.04,33.32,0,0.0,80.51
STEELCAS,STEELCAST,287.48,286.21,289,284.21,287.48,0,0.0,78.4
LATENTVIEW,LATENT VIEW ANALYTICS,289.15,297.3,300.75,286.5,289.15,0,0.0,62.52
